Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
15751404,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316204366""","=""9780316204361""",5,3.95,"Little, Brown and Company",Hardcover,305,2013,2013,,2021/10/30,,,read,,,,1,,,0,,,,,
40102,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,"Gladwell, Malcolm","Irina Henegar, Barry Fox","=""0316010669""","=""9780316010665""",4,3.94,Back Bay Books,Paperback,296,2007,2005,,2021/10/30,,,read,,,,1,,,0,,,,,
28186015,Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,Cathy O'Neil,"O'Neil, Cathy",,"=""0553418815""","=""9780553418811""",4,3.88,Crown,Hardcover,259,2016,2016,,2021/10/30,,,read,,,,1,,,0,,,,,
117047,The Blind Watchmaker: Why the Evidence of Evolution Reveals a Universe Without Design,Richard Dawkins,"Dawkins, Richard",,"=""0141026162""","=""9780141026169""",4,4.07,Penguin,Paperback,466,2006,1986,,2021/10/30,,,read,,,,1,,,0,,,,,
21413662,What If? Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,"Munroe, Randall",,"=""0544272994""","=""9780544272996""",5,4.12,Mariner Books,Hardcover,303,2014,2014,,2021/10/30,,,read,,,,1,,,0,,,,,
2612,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,"Gladwell, Malcolm","מלקולם גלדוול, עפרה אביגד","=""0316346624""","=""9780316346627""",5,3.98,Back Bay Books,Paperback,301,2002,2000,,2021/10/30,,,read,,,,1,,,0,,,,,
28789711,SPQR: A History of Ancient Rome,Mary Beard,"Beard, Mary",,"=""1631492225""","=""9781631492228""",4,4.00,Liveright,Paperback,606,2016,2015,,2021/10/30,,,read,,,,1,,,0,,,,,
7815,The Year of Magical Thinking,Joan Didion,"Didion, Joan",,"=""1400078431""","=""9781400078431""",3,3.89,Vintage,Paperback,227,2007,2005,,2021/10/30,,,read,,,,1,,,0,,,,,
662,Atlas Shrugged,Ayn Rand,"Rand, Ayn","Jan de Voogt, Leonard Peikoff","=""0452011876""","=""9780452011878""",3,3.69,Plume,Paperback,1078,1999,1957,,2021/10/30,,,read,,,,1,,,0,,,,,
8719,Julian,Gore Vidal,"Vidal, Gore",,"=""""","=""""",5,4.21,Vintage,Paperback,528,2003,1964,,2021/10/30,,,read,,,,1,,,0,,,,,
321263,Humanity: A Moral History of the Twentieth Century,Jonathan Glover,"Glover, Jonathan",,"=""0300087152""","=""9780300087154""",4,4.27,Yale University Press,Paperback,476,2001,1999,,2021/10/30,,,read,,,,1,,,0,,,,,
25899336,When Breath Becomes Air,Paul Kalanithi,"Kalanithi, Paul",,"=""""","=""""",2,4.36,Random House,Paperback,208,2016,2016,,2021/10/30,,,read,,,,1,,,0,,,,,
