Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
11989,The Plague,Albert Camus,"Camus, Albert","Stuart Gilbert, Ersílio Cardoso, Valery Rumjanek, Susana Cordero Espinosa","=""""","=""""",4,4.01,Vintage International,Paperback,308,1991,1947,2020/01/01,2020/07/24,"philosophical, topical","philosophical (#11), topical (#4)",read,This book is mainly about heroism/living with yourself. Although the plague is not a metaphor for the Nazis it might as well be.,,,1,,,0,,,,,
49552,The Stranger,Albert Camus,"Camus, Albert",Matthew  Ward,"=""""","=""""",3,4.00,Vintage International,Paperback,123,1989,1942,2020/01/01,2020/07/24,,,read,What is perhaps a very unique perspective is also very alienating -- I don't believe that Mersault is a natural character but rather a kind of caricature of the tiny and apathetic. <br/><br/>,,,2,,,0,,,,,
36236124,Fight Club,Chuck Palahniuk,"Palahniuk, Chuck",,"=""0393355942""","=""9780393355949""",5,4.18,W. W. Norton  Company,Paperback,224,2018,1996,,2020/07/24,"philosophical, contemporary","philosophical (#10), contemporary (#1)",read,An evocative and deeply disturbing story that resonates with me.,,,1,,,0,,,,,
20518872,The Three-Body Problem (Remembrance of Earth’s Past #1),Liu Cixin,"Cixin, Liu",Ken Liu,"=""0765377063""","=""9780765377067""",5,4.06,Tor Books,Hardcover,399,2014,2006,2018/01/01,2020/07/24,,,read,,,,1,,,0,,,,,
34497,"The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett,"Pratchett, Terry",,"=""0060855924""","=""9780060855925""",2,3.98,Harper,Paperback,228,2005,1983,,2020/07/24,"ontoscifi, humor, xrisk","ontoscifi (#5), humor (#3), xrisk (#3)",read,Hitchhikers >> Terry Pratchett,,,1,,,0,,,,,
223380,Stories of Your Life and Others,Ted Chiang,"Chiang, Ted",,"=""0330426648""","=""9780330426640""",5,4.22,Small Beer Press,ebook,281,2010,2002,2019/01/01,2020/07/24,"ontoscifi, cogsci, philosophical","ontoscifi (#4), cogsci (#2), philosophical (#8)",read,,,,1,,,0,,,,,
41160292,Exhalation,Ted Chiang,"Chiang, Ted",,"=""""","=""""",4,4.27,Knopf,Kindle Edition,352,2019,2019,,2020/07/24,,,read,,,,1,,,0,,,,,
9014,The Long Walk,Richard Bachman,"Bachman, Richard",Stephen King,"=""0451196716""","=""9780451196712""",3,4.08,Signet,Mass Market Paperback,370,1999,1979,2017/01/01,2020/07/24,,,read,,,,1,,,0,,,,,
11830394,2312,Kim Stanley Robinson,"Robinson, Kim Stanley",,"=""0316098124""","=""9780316098120""",5,3.53,Orbit,Hardcover,561,2012,2012,2019/01/01,2020/07/24,"socioscifi, philosophical","socioscifi (#3), philosophical (#3)",read,"I have a soft spot for descriptive sociology-science-fiction conjectures, like with Blackfish City, I also really liked this book. Read it on the cruise-- even though I'm not really a fan of Kim Stanley Robinson this was a very fun and agreeable look into the near future.",,,1,,,0,,,,,
30165203,"American Gods (American Gods, #1)",Neil Gaiman,"Gaiman, Neil",,"=""""","=""""",2,4.10,William Morrow,Kindle Edition,635,2011,2001,2020/07/24,2020/07/24,,,read,BLEH,,,1,,,0,,,,,
36436073,Create Dangerously,Albert Camus,"Camus, Albert",Justin O'Brien,"=""024133912X""","=""9780241339121""",3,3.82,Penguin Classics,Paperback,58,2018,1957,2018/01/01,2020/07/24,,,read,"Well, we aren't living in wartime, and Camus doesn't seem to recognize that a lot of abstraction is a direct challenge to the political/social reality -- so his criticisms of art ""detached"" from society is not super accurate. Not a lot of art strives to be purely decorative.",,,1,,,0,,,,,
164154,"A Canticle for Leibowitz (St. Leibowitz, #1)",Walter M. Miller Jr.,"Jr., Walter M. Miller",Mary Doria Russell,"=""0060892994""","=""9780060892999""",3,3.97,HarperCollins EOS,Paperback,334,2006,1959,2018/01/01,2020/07/24,"philosophical, socioscifi, ontoscifi, xrisk","philosophical (#6), socioscifi (#5), ontoscifi (#3), xrisk (#2)",read,Something human condition something. ,,,1,,,0,,,,,
321660,Aliens & Anorexia,Chris Kraus,"Kraus, Chris",,"=""1584350016""","=""9781584350019""",5,4.05,Semiotext(e),Paperback,244,2000,2000,2019/01/01,2020/07/24,,,read,"A really difficult book but Chris Kraus is a genius, I want to write like her someday.<br/>",,,1,,,0,,,,,
39927096,Less,Andrew Sean Greer,"Greer, Andrew Sean",,"=""""","=""""",3,3.66,Lee Boudreaux Books,Kindle Edition,273,2017,2017,,2020/07/24,"philosophical, humor","philosophical (#5), humor (#2)",read,"Eye-opening and mildly depressing, a little relaxing, not laugh-out-loud humor but a dry kind.<br/>",,,1,,,0,,,,,
216363,The Man in the High Castle,Philip K. Dick,"Dick, Philip K.",,"=""0679740678""","=""9780679740674""",2,3.62,Vintage,Paperback,259,1992,1962,2018/01/01,2020/07/24,"ontoscifi, socioscifi","ontoscifi (#2), socioscifi (#2)",read,"Just ""OK"" -- difficult, obtuse, and its not clear that the reward for understanding the complex metaphysics is worth the time.",,,1,,,0,,,,,
22676110,"The Pocket Universal Principles of Design: 150 Essential Tools for Architects, Artists, Designers, Developers, Engineers, Inventors, and Makers",William Lidwell,"Lidwell, William",,"=""1631590405""","=""9781631590405""",5,4.42,Rockport Publishers,Paperback,320,2015,2015,2016/01/01,2020/07/24,"topical, design, cogsci","topical (#3), design (#1), cogsci (#1)",read,"It's ""nice"".<br/><br/>Possibly the most influential book on my thinking over the grades 7-11th and why I find similar ideas are so interesting -- because they are hidden patterns and people aren't catching them.<br/>",,,1,,,0,,,,,
18090165,What Should We Be Worried About? Real Scenarios That Keep Scientists Up at Night,John Brockman,"Brockman, John",,"=""006229623X""","=""9780062296238""",3,3.44,Harper Perennial,Paperback,478,2014,2014,2018/01/01,2020/07/24,"topical, xrisk","topical (#2), xrisk (#1)",read,This was honestly a really eye opening book although it is now quite outdated. A nice primer to the great worries of modern society though. We need a backup electric grid!<br/>,,,1,,,0,,,,,
23847913,Bridge of Words: Esperanto and the Dream of a Universal Language,Esther Schor,"Schor, Esther",,"=""0805090797""","=""9780805090796""",4,3.65,Metropolitan Books,Hardcover,384,2016,2015,2018/01/01,2020/07/24,topical,topical (#1),read,Fascinating and thought-provoking.,,,1,,,0,,,,,
13,"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,"Adams, Douglas",,"=""0345453743""","=""9780345453747""",5,4.36,Del Rey Books,Paperback,815,2002,1996,2019/01/01,2020/07/24,"philosophical, humor, ontoscifi","philosophical (#2), humor (#1), ontoscifi (#1)",read,Peak human creativity & diversionary thinking.,,,1,,,0,,,,,
35068768,Blackfish City,Sam J. Miller,"Miller, Sam J.",,"=""0062684841""","=""9780062684844""",4,3.59,Ecco,ebook,336,2018,2018,2019/01/01,2020/07/24,socioscifi,socioscifi (#1),read,"Very entertaining, expansive, and a nostalgic read for me. The ideas are not complex but the setting and the urban sprawl is really fun. Reminiscent of airports and headaches, but in a good way.",,,1,,,0,,,,,
28921,The Remains of the Day,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""""","=""""",5,4.14,Faber & Faber,Paperback,258,2005,1989,2020/01/01,2020/07/23,philosophical,philosophical (#1),read,Extremely likeable and entertaining character & a really nice encapsulation of self-denial.,,,1,,,0,,,,,
36692478,There There,Tommy Orange,"Orange, Tommy",,"=""0525520376""","=""9780525520375""",3,3.98,Knopf,Hardcover,294,2018,2018,2019/12/30,2019/12/21,,,read,,,,1,,,0,,,,,
